epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,180.667,0.43765,0.33837,1.12168,0.10473,0.375,0.06351,0.0204,2.54739,4.24336,3.36862,0.000692087,0.000692087,0.000692087
64,183.524,0.47454,0.35071,1.1867,0.07872,0.5,0.06481,0.02751,1.8824,7.53123,2.85616,0.000691734,0.000691734,0.000691734
65,186.359,0.46628,0.38551,1.16213,0.10642,0.41667,0.08513,0.02376,2.54616,5.43452,3.50452,0.00069138,0.00069138,0.00069138
66,189.219,0.38434,0.32632,1.10938,0.19773,0.41667,0.13508,0.02774,2.99159,3.82604,4.35491,0.000691027,0.000691027,0.000691027
67,192.065,0.51733,0.37036,1.18024,0.21445,0.54167,0.16542,0.04228,3.05171,3.7503,4.70774,0.000690674,0.000690674,0.000690674
68,194.914,0.46639,0.34397,1.1548,0.20937,0.41667,0.10467,0.0263,3.59364,4.47269,4.93784,0.00069032,0.00069032,0.00069032
69,197.747,0.45746,0.36145,1.18199,0.20296,0.29167,0.08976,0.02447,2.95838,4.01063,3.49793,0.000689967,0.000689967,0.000689967
70,200.593,0.41056,0.36284,1.14438,0.08454,0.33333,0.04949,0.03031,2.18175,6.49389,2.65856,0.000689613,0.000689613,0.000689613
71,203.473,0.46371,0.3536,1.15998,0.10986,0.41667,0.10111,0.02656,2.3689,3.74795,2.71636,0.00068926,0.00068926,0.00068926
72,206.343,0.49883,0.35805,1.15916,0.26803,0.56471,0.3233,0.17128,1.6114,2.33562,2.09127,0.000688906,0.000688906,0.000688906
73,209.184,0.4351,0.30319,1.10281,0.4257,0.54167,0.40368,0.18187,1.9158,3.02182,2.58266,0.000688553,0.000688553,0.000688553
74,212.051,0.472,0.33518,1.1442,0.3508,0.67561,0.49157,0.15672,2.25645,3.49221,3.06167,0.0006882,0.0006882,0.0006882
75,214.919,0.46637,0.35268,1.18329,0.23844,0.54167,0.22172,0.05834,3.26203,2.52071,4.39254,0.000687846,0.000687846,0.000687846
76,217.771,0.43129,0.31167,1.1409,0.34392,0.29167,0.23684,0.0551,3.42296,2.50391,4.54289,0.000687493,0.000687493,0.000687493
77,220.62,0.46311,0.34227,1.16971,0.39944,0.5,0.46389,0.12393,3.00844,1.82453,3.91165,0.000687139,0.000687139,0.000687139
78,223.463,0.45321,0.30434,1.15064,0.37647,0.66667,0.508,0.14406,2.83462,1.82702,3.72911,0.000686786,0.000686786,0.000686786
79,226.324,0.43253,0.29378,1.10328,0.76731,0.5,0.5846,0.20736,2.70287,1.48421,3.90111,0.000686432,0.000686432,0.000686432
80,229.187,0.44522,0.3227,1.13969,0.4762,0.54167,0.46514,0.13178,2.84433,1.65764,3.79862,0.000686079,0.000686079,0.000686079
81,232.044,0.4494,0.33426,1.11565,0.71665,0.375,0.46899,0.12625,2.98508,1.67287,3.53381,0.000685726,0.000685726,0.000685726
